,sentence,polarity
1697,I put my old battery back in my phone.,2
1698,Trying to make a call on these is an exercise in frustration.,0
1699,"Both worked fine with either phone, even recognized the voice commands stored on both phones.",2
1700,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0
1701,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
1702,"After using this headset even the bass on my car speakers is enough to bother me now, and they're just normal car speakers.",2
1703,No documentation or any other information was included.,2
1704,I bought this exact same item from someone a few months ago.,2
1705,"As of now, I can call manually and receive calls but heaven forbid it goes into voicemail.",2
1706,"I love the camera, it's really pretty good quality.",1
1707,Could have been Better!.,2
1708,Thank you for such great service.,1
1709,That left a bad taste in regards to amazon.,2
1710,The item came quickly and it was exactly what I wanted and in the time I needed.,2
1711,Its a total package.,1
1712,I wasn't able to find the web site for the manufacturer.,2
1713,"The seller is very understanding and patient, I would definitely buy from them again.",1
1714,I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,0
1715,There is a longer painstaking way to do it.,2
1716,hopefully before i retired,2
1717,It's AGGRAVATING!,0
1718,Not worth the price in my opinion.,2
1719,"The service is very reliable now that Cingular has spent money on over 47,000 cell sites in America.",2
1720,I'm a technically savvy person but I can tell I'm in for hours of valuable time trying to get this to work.,2
1721,I just hope they fix the bugs.,2
1722,Great product for the price!.,1
1723,Why show this one?,2
1724,I was embarrassed when they took it out of the box for a first look.,2
1725,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
1726,Virgin Wireless rocks and so does this cheap little phone!,1
1727,"None of it works, just don't buy it.",0
1728,"The scam is that if you run all of the cable and mount everything, you will not want to remove everything for return.",2
1729,I know i sould stuck up but it is true.,2
1730,They replaced the infuriating proprietary NOKIA POP-PORT combination USB and HEADPHONE access port with separate STANDARD USB and HEADPHONE jacks.,2
1731,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0
1732,"The holes don't match up perfectly, but it's good enough.",2
1733,"I'm very active, so I want a headset that I can use to listen to tunes while working out or running.",2
1734,Most of the time people can't hear me.,2
1735,I was fooled twice.,2
1736,I used the original HS820 for years which was a great headset.,2
1737,Please dont waste your money.,0
1738,My interior is a bit noisy but it seems to work great in quiet rooms but not really anywhere else.,2
1739,Sound quality is always pretty bad and I get complaints from the other side also.I have a Platronics since before I got this and that works great.,2
1740,"I believe that it is common sense that when you have a phone of this build, you obviously must be a lot more careful and aware with it.",2
1741,"This comes with a bunch of phone adapters, but not a micro usb, the most common for cell phones so I actually haven't been able to use it yet,",2
1742,"I've had a selection oh phones since this one and they didnt compare, so as of now I'm waiting on my new nokia 3220.",2
1743,"press once for this, twice for that, hold 3 secs for the other, etc.)",2
1744,"That didn't solve my cell coverage problem, but it did give me a working phone inside my home so I'm happy.",2
1745,"All in all, I'm quite satisfied with this purchase.",1
1746,the charger actually charged my phone.,2
1747,The actual battery model # did NOT match the image that I saw for this battery.,2
1748,"Well, it looks like nokia have been trying out this theory with handsfree/headphone kits.",2
1749,"When compared in size to a RAZR, it is about the same length closed, double the length opened, and about a RAZR and a half thick.",2
1750,"I called reseller ""unlockedcellphonekings"" they told me sorry 90 days has passed nothing we can do.",2
1751,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",0
1752,Common problems include,2
1753,It has to be kept too close to the phone and has too much noise in it.,2
1754,Yet Plantronincs continues to use the same flawed charger design.,0
1755,I'm getting a new case!,2
1756,Also I can walk around my apt and even check my mail and still have a strong signal!!,2
1757,Disapointing Results.,0
1758,Cumbersome design.,0
1759,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
1760,The sellers did not respond.We bought this set also to give it a shot.,2
1761,Not impressed... Contemplating taking back.. I will be honest.,2
1762,Didn't feel like buying a unit priced higher than my phone :).,2
1763,Great Product.,1
1764,decent pouch but very very bad clip.,2
1765,works with iPhone 3G/OS 3.0.,2
1766,I have to go through the Treo menus to get it to pair again.,2
1767,"this one works with my hp ipaq and motorola razor at the same time, ipaq for my business and rzr for my personal phone.",2
1768,Button rattles.,2
1769,It's A PIECE OF CRAP!,0
1770,To address this problem I picked up a Palm PDA.,2
1771,"Not the best phone out there.... I've had this phone for about a year, and I have not been pleased with its service.",2
1772,Exactly what I needed for my RIZR Z3!.,2
1773,So far Cingular has been a breath of fresh air.,2
1774,It worked for two weeks and than sto working .,2
1775,They then said that this SIM card too was not correct--they would have to send me another one!,2
1776,"I've completely verified, by other means, that everything on my end (computer, phone, USB connection, etc.)",2
1777,Only issues,2
1778,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0
1779,They sound kind of tinny.,2
1780,Igo Keyboard.,2
1781,Downloaded a couple mp3s to the phone in a flash.,2
1782,The ear clip should be redesigned.,2
1783,This fixes all the problems.,1
1784,This was my first bluetooth headset ever and I got it because I wanted to be able to print out a picture so my headset could match my outfit.,2
1785,Worst ever.,0
1786,"!Of course, I did experience call drops during long duration calls.",2
1787,It's comfortable and easy to use.,2
1788,Returned my Cingular 8525.,2
1789,2.50 per ringtone.,2
1790,Eventually it gets into place and it's great.The other things is that the jawbone looks fragile.,2
1791,I am very happy,1
1792,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1
1793,Bought this blu-tooth to replace another that was uncomfortable.,2
1794,It fits the razr quite well.,2
1795,"After reading the first review, I emailed customer service to find out of the description was accurate BEFORE I ordered.",2
1796,"Hence, we would not be able to apply any credits against the roaming charges.",2
1797,A camera I might play around with when bored.,2
1798,"The rest of the time, I am around big cities and strong digital network presence.",2
1799,This version was brand new in box.I'm still a little salty about spending nearly a day and $10 at UPS to fix this problem.,2
1800,Brilliant but flawed.,2
1801,The motorola branded usb cable which shipped with the software was malformed at the mini USB end and would not fit the phone's usb port easily.,2
1802,I just started using the phone for wmv playback since my iPod broke.,2
1803,"I can barely ever hear on it and am constantly saying ""what?""",0
1804,The battery life is highly unacceptable.,0
1805,broken in one month.,2
1806,"all of these fees they charge us, subscribers, are draining our finances.",2
1807,That company is a joke.,0
1808,"Finally got my first bluetooth headset, settled on this after to numerous great reviews.",2
1809,"I had a Motorola H500 that was ok, but very loose fitting.",2
1810,"I don't get any complaints from the people at the other end of the phone call anymore, and it has a good volume level that I can hear at my end.",2
1811,"It is return only, and if you get a family plan, it is return both phones only, you cannot exchange, and their customer service is very poor.",2
1812,Kit includes two tools needed to open iPod case.,2
1813,My company recently switched from the Blackberry platform to Windows Mobile.,2
1814,It does everything the description said it would.,1
1815,Due to this happening on every call I was forced to stop using this headset.,0
1816,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
1817,I was not expecting an OEM life but in less than 6 weeks the battery began to lose holding a charge.,2
1818,"Out of 5 different phones I have had, this is the best.",2
1819,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0
1820,I was a little skeptical about this product until I acutally tried it for myself.,2
1821,cell phone battery.,2
1822,And I only tried one way.,2
1823,"It came with 3 different sets of ear buds, but the length of the wrap-around piece cannot be changed.",2
1824,"WELL....I've got 9month old twins, a three year old, a husband(!",2
1825,The only thing I didn't like is that the clip assembly fell apart in two days.,2
1826,"$89.00 is the low end of these types of phones, but I think the phone works very well for the price.",2
1827,quick shipping~!,2
1828,"you got your money's worth...just buy the real one, saves you a headache",2
1829,Got another type with one ear piece with soft plug and it much better.,2
1830,Looks better than it works.,2
1831,I like the shape of it as opposed to the rectangular headsets.,2
1832,"i don't yet know if this charger will fit, as i have yet to receive it.",2
1833,"Now, I'm glad I did.",2
1834,"Voice Quality, Signal Strength, Dropped Calls.",0
1835,Mahalo and good luck with your seach for the perfect combo in your area.,2
1836,"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",1
1837,I took my time.,2
1838,Better than expected.,1
1839,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
1840,"For years, I've used a Palm for that purpose and I don't see anything in PhoneTools that supports Palm.",2
1841,Battery is holding up well.,1
1842,"This is 4 dollars, Radio Shack is 40 bux, You choose.. The Greyhound bus company lost my brothers Motorola cell phone charger.",2
1843,flaky products.,2
1844,Also difficult to put on.I'd recommend avoiding this product.,0
1845,"I only used it two days, and it wasn't always easy to hear with.",0
1846,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
1847,The first pair I got were really tight on my head and maybe that is why they broke in the first place.,2
1848,Do not use this holster unless you want to lose your cell phone.,2
1849,Sprint - terrible customer service.,0
1850,"Since I have a power inverter, I have the tiny charging cradle hardwired to the car, and therein lies the quirk",2
1851,Protect your expensive meter and it will last.,2
1852,The noise cancellation feature really works better than they admit.,2
1853,If you intend to buy a phone from them get the least expensive plan first.,2
1854,It's a Nokia and nobody makes a phone quite a well as they do.Things I don't like:1.,2
1855,Linked to my phone without effort.,1
1856,THey are so cool!,1
1857,"If want to use the fantastic feature of Wi-Fi capability of this phone without a data plan, DON'T DO IT.",2
1858,Easy to use.,1
1859,Better Than New.,1
1860,Phone Charger Needed.,2
1861,Both channels were really quiet and the sound came out mono.,2
1862,Back to square one....,2
1863,"What possesed me to get this junk, I have no idea...",0
1864,"To get the phone in takes some doing, at least to get it in right!",2
1865,Piece of trash.,0
1866,The fit is just fine and it's easy to forget you even have it on.,2
1867,Not bad for $6.,2
1868,I work at a day care so there are always children trying to touch it.,2
1869,It works best inside a vehicle with the windows closed.,2
1870,A pretty good product.,1
1871,This is a great phone!.,1
1872,I went to resellerratings website and discovered how horribly they are doing buisness in this country.,2
1873,"i changed the preferences to leave it backlit while in use and have not seen very much drain on the battery, but the phone does get pretty warm.",2
1874,There is a chance that these ear gels wont fit your ear but for the price they cost it is worth the gamble.,2
1875,"For the price on Amazon, it is an excellent product, which I would highly recommend.",1
1876,Their Research and Development division obviously knows what they're doing.,1
1877,"The real killer is the volume, and of course it breaking.",0
1878,Easy to set upSupertooth Light Bluetooth Handsfree Speakerphone Black - 093744,2
1879,Those phones are working just fine now.,1
1880,I am more than happy with this product.,1
1881,I have yet to even try the bluetooth.,2
1882,It's now 3/27 and the skin is no where to be found.,2
1883,Poor Construction.,0
1884,Not Bad but could be better.,2
1885,"Replacement battery.. It's been a month so far of use and so far, so good.",2
1886,Why did I buy this phone?,2
1887,It does sometimes get a little static depending on where I am.,2
1888,I could see it even with the phone turned off.,2
1889,Won't stay put.,2
1890,I had an LG for 4 years and loved it.,2
1891,I have dropped it many times- still works.,2
1892,This is infuriating.,0
1893,"But other than that, I have no complaints so far.",2
1894,thw wire is very fragile and loss of sound due to bad wire connection,2
1895,At least it is inexpensive.,2
1896,It was a pain to try to turn on the headset and then get it on my ear.,2
1897,"Comments like, ""doesn't hold a charge"" or ""it doesn't let you know when to recharge the batteries"" are totally false!",2
1898,But the major problem w/ this phone is that after a year or in my case 8 months the sliding mechanism gives out.,2
1899,Poor quality.. I believe the headset is a fake -- not a Plantronics.,2
1900,"Overall, I would recommend this phone over the new Walkman.",1
1901,Sprint charges for this service.,0
1902,"It is cheap, and it feel and look just as cheap.",0
1903,It fits my ear well and is comfortable on.,1
1904,It doesn't work in Europe or Asia.,0
1905,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
1906,They sent me a sim card after I received an email to contact the sales dept.,2
1907,I keep mine tucked into the case and very seldom use the ear phone port attachment.,2
1908,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
1909,I have always bought cheap earpieces because they seem to last at least 6 months before I have to replace them which is fine.,2
1910,Expected this one to be just as easy to install and delightful to use.,2
1911,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
1912,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
1913,the charger worked for about a week and then completely stopped charging my phone.,0
1914,Poor product.,0
1915,However I needed some better instructions.,0
1916,You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0
1917,"Well I was a little upset, but figured I must have done something wrong.",2
1918,Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1
1919,"She said ""they (Sprint) don't tell you that"".",2
1920,"It is also an mp3 player, a digital camera and camcorder with a 1.3 megapixel lense.",2
1921,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0
1922,"It works, but.",2
1923,DO NOT BUY DO NOT BUYIT SUCKS,0
1924,This is a great product..... sure beats using your fingers!.,1
1925,"Plus, I seriously do not believe it is worth its steep price point.",0
1926,I purchased this item on the idea that it comes with the main piece and the right side.,2
1927,Couldn't say no thank you.,2
1928,All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1
1929,If you get yourself a 100 m bluetooth adapter then u can roam around in your house and talk and hear music and even be coonected to your cellphone.,2
1930,The sound quality is fairly awful also.. but I'm not sure if T-Mobile is to blame or if the phone is just really bad.,2
1931,What are you all talking about?.,2
1932,This device is kinda like the Honda Accord.,2
1933,Very Dissapointing Performance.,0
1934,Don't make the same mistake that I did and please don't buy this phone.,0
1935,This phone might well be the worst I've ever had in any brand.,0
1936,Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0
1937,I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
1938,Don't bother - go to the store.,0
1939,**Give a good sound quality compare to its price.I will love it if it does not give an auto reverse problem to me!,2
1940,My husband and I switched companies to at&t so that he could get an i-phone and I decided to get a new phone too.,2
1941,"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1
1942,I bought this case about a month ago and found it to meet my needs.,2
1943,Both phone and charger work fine.,2
1944,I did not have any problem with this item and would order it again if needed.,1
1945,"Finally, I was excited about this model because I thought it would work well with my Motorola phone.",2
1946,He still thanks me once in a while.,2
1947,You get what you pay for I guess.,0
1948,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1
1949,im surprised this is a good quality car charger and there's not much reviews about it.,1
1950,These are fabulous!,1
1951,I've bought another brand as well so we'll see which holds up the longest.,2
1952,"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0
1953,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
1954,I had the bt250 last year and it was fine.,2
1955,I have always had cases for my cell phones because they do protect the valuable phone.,2
1956,I was so skeptical to spend so much money on a cell phone.,2
1957,Disappointing accessory from a good manufacturer.,0
1958,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0
1959,Very wind-resistant.,1
1960,No problems.,2
1961,"Obviously they have a terrible customer service, so you get what you pay for.",0
1962,"Good sound but.... Really good sound and anatomy, but it's hard to connect to Nokia Nseries (N82, N95, N73) that are the best cellphones with A2DP.",2
1963,My experience was rather random.,2
1964,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1
1965,"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0
1966,I'm not one to trade in phones twice a year and I know how to take care of stuff to make it last.,2
1967,Linksys should have some way to exchange a bad phone for a refurb unit or something!,0
1968,USB Cable plus software.,2
1969,It's possible my device is DOA.,2
1970,Phone is sturdy as all nokia bar phones are.,1
1971,Great phone.,1
1972,"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0
1973,I'm pleased.,1
1974,Battery is terrible.,0
1975,"This model, the C150, is one of 4 Jabra headsets I have ordered.",2
1976,Do not order from Accessoryone.,2
1977,The shinny keypad gets scratched pretty easy.Bottomline:This is the best phone with T-Mobile's 1-year contract.,2
1978,I found the product to be easy to set up and use.,1
1979,The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0
1980,Utter crap.. Sound quality is TERRIBLE.,0
1981,"The charger arrived within the promised timeframe, but it did not work.",0
1982,compare it to the included nokia earpiece!,2
1983,"No ear loop needed, it's tiny and the sound is great.",1
1984,"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",0
1985,"I use my phone a lot, between calls and texts and listening to the iTunes, its unbelievable that I only really have to charge it once a day.",2
1986,"I write ""intended"" because I kept the old battery and now I just rotate them.",2
1987,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1
1988,Talk about USELESS customer service.,0
1989,"It felt too light and ""tinny."".",0
1990,This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0
1991,I'm happy about this purchase- good quality and low price.,1
1992,I love the look and feel of Samsung flipphones.,1
1993,Its well-designed and very sharp -- the blue is a very nice color.,1
1994,Does everything it should and more.,1
1995,I could not recommend these more.,0
1996,Nice Sound.,1
1997,"Looks good in the picture, but this case was a huge disappointment!!",0
1998,So glad I didnt pay for this at an att or walmart as they are about $20 there.,2
1999,Much less than the jawbone I was going to replace it with.,1
2000,Setup went very smoothly.,1
2001,its extremely slow and takes forever to do anything with it.,0
2002,"A must study for anyone interested in the ""worst sins"" of industrial design.",0
2003,"I bought from accessory one, the total cost was about $4.",2
2004,The first thing that happened was that the tracking was off.,0
2005,"It is well made, easy to access the phone and has a handy, detachable belt clip.",1
2006,The little part where you press the buttons to choose the station is super sensitive.,2
2007,I didn't buy into the Razor fad when it first came out.,2
2008,"If you have to switch the meter leads (black on red; red on black), to obtain a normal voltage reading, then the solar collector is wired backwards.",2
2009,Then I had to continue pairing it periodically since it somehow kept dropping.,0
2010,I live in an rural area and my calls drop constantly.,2
2011,Can't upload ringtones from a third party.,0
2012,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0
2013,This phone is HOT!,2
2014,Truly awful.,0
2015,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1
2016,The volume for the ringer is REAL good (you have choices how loud).,1
2017,And none of the tones is acceptable.,0
2018,camera color balance is AWFUL.,0
2019,The Nokia E62 has a 2.5mm headphone jack and not the pop port shown on this accessory.,2
2020,"it fits the phone on the side, so that's a little goofy, but you still have functionality when it's plugged in.",2
2021,"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0
2022,I love the ringtones because they are so upbeat!,1
2023,Chinese Forgeries Abound!.,0
2024,Easy to pair with my Samsung Cell.,1
2025,The instructions didn't explain that a microphone jack could be used.,0
2026,"I ended up going back to my old phone, which is almost 2 years old... but a much nicer handset.",2
2027,i would advise to not purchase this item it never worked very well.,0
2028,Too bad you have to pay up to $$$ a month for the service!,0
2029,The CellSuit is completely custom-fitted for this particular phone and...well...fits like you know what.,2
2030,The phone has PCS web access.,2
2031,Works well.,1
2032,"Sure it would if I paid a fortune for shipping, but then getting it cheaper on this site would have it's purpose defeated.",2
2033,The nokia CA-42 USB cable did not work with my phone.,0
2034,Clear crisp sound.,1
2035,I was so excited to receive this as the battery I got with my Treo 680 was dying so quickly.,2
2036,"20 Amps max fuse in back, option to plug into existing port in the car or hard wire it for permanent installation.",2
2037,"I have to use the smallest earpieces provided, but it stays on pretty well.",1
2038,"The biggest complaint I have is, the battery drains superfast.",0
2039,The design might be ergonomic in theory but I could not stand having these in my ear.,0
2040,Do NOT buy if you want to use the holster.,0
2041,The phone can also take great pictures and even video clips.,1
2042,"It's really intended to be a personal organizer.The unit itself feels quite sturdy, but keep in mind it has a quite large LCD screen.",2
2043,The distance is about 30 feet.,2
2044,After using this stylus the orginal will fit looser in the Treo.,2
2045,It doesn't make you look cool.,0
2046,"connects quickly and reliably, but when i use it with my pocket pc it conflicts with my stowaway mouse causing it to intermittently disconnect.",2
2047,"Because both ears are occupied, background is not distracting at all.",1
2048,I have a whole list and can go on and on.,2
2049,I didn't hear from them after that.,2
2050,"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1
2051,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0
2052,You can't beat the price on these.,1
2053,"On my phone, this button activates the camera phone feature.",2
2054,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1
2055,lightweight and works well.,1
2056,So just beware.,0
2057,)One thing about the Motorolas,2
2058,I love this cable - it allows me to connect any mini-USB device to my PC.,1
2059,So anyone near you will hear part of your conversation.,0
2060,I too bought this phone ( sprint) when old contract other crappy company ( very bad,2
2061,This is cool because most cases are just open there allowing the screen to get all scratched up.,1
2062,Phone went through power cycles when I pushed the send button trying to call people.,2
2063,I bought this phone as a replacement for my StarTac and have regretted it since.,0
2064,Appears to actually outperform the original battery from China that came with my V325i.,1
2065,"However the fit for me is not snug because I wear spectacles, otherwise it works well.",2
2066,Can't store anything but phone numbers to SIM.,0
2067,Who would have guessed??.,2
2068,"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",0
2069,Poor quality.,0
2070,I mean come on for 30 some bucks what could you expect right?,2
2071,"jabra ear gels ""R"" the best!.",1
2072,Not worth it.,0
2073,Almost As Good As the Original LG Battery.,2
2074,The phone crashed completely and now I have to get it replaced.,0
2075,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1
2076,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0
2077,It was a great phone.,1
2078,It is just what I ordered,2
2079,if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0
2080,"Good value, works fine - power via USB, car, or wall outlet.",1
2081,The same was true with my Samsung.,2
2082,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
2083,This is simply the BEST bluetooth headset for sound quality!,1
2084,This is it!,2
2085,Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0
2086,The new one did the same thing.,2
2087,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1
2088,"In hindsight, that would have been a nice feature.",2
2089,I have always used corded headsets and the freedom from the wireless is very helpful.,1
2090,After 2 weeks it has loosened up and is more user friendly.,2
2091,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1
2092,It says Brand new OEM but it lasted for few hours and now this battery is similar to my old one.,2
2093,"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1
2094,It has everything I need and I couldn't ask for more.,1
2095,After receiving and using the product for just 2 days it broke.,0
2096,I bought two ear pieces for my 8260 phone.,2
2097,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1
2098,After 4 days of not being able to connect to the internet I had to go out and buy a Novatel pc card.,2
2099,Motorola Cell Stick.,2
2100,Good product to address a design problem.,2
2101,None of the three sizes they sent with the headset would stay in my ears.,0
2102,T-Mobile has the best customer service anywhere.,1
2103,"The tuner card inserts fairly easily and snaps in reassuringly, but you're unlikely to actually pick up any stations.",2
2104,Arrived quickly and much less expensive than others being sold.,1
2105,The case fit perfectly and was very thin compared to other cases I looked at.,2
2106,We have tried 2 units and they both failed within 2 months.. Pros,0
2107,"Provides good protection and looks classy, too.",1
2108,I got this phone for christmas.,2
2109,I did get it to work by placing the antenna outside where the signal was marginal but would support a normal phone connection.,2
2110,"Nice Product, Poor Quality.",2
2111,This mount is actually great for the first two days.,2
2112,You have to have it directly over your mouth in order for others to hear you.,2
2113,The good things end there!,2
2114,Krussel Always good.,1
2115,A 1GB microSD card costs about $25.- Ships with mono headphone jack (not 2 ear headphones)- Non-standard headphone jack.,2
2116,"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
2117,The design is very good.4.,1
2118,"After scratching for a few minutes, the gunk went away.",2
2119,I only tried using it out of curiousity because of some other reviews.,2
2120,I great reception all the time.,1
2121,"The phone, eh, not the best, but with the speakerphone or hands-free, it's fine.I will never be without my Sidekick again!",2
2122,I would highly recommend this product.,1
2123,"Couldn't use the unit with sunglasses, not good in Texas!",0
2124,It dit not work most of the time with my Nokia 5320.,0
2125,"Great PDA, Bad Phone.",2
2126,Had to get it from Samsung website.,2
2127,"Bought mainly for the charger, which broke soon after purchasing.",0
2128,"For the record, I'm using the smallest gel.",2
2129,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
2130,Fantastic buy and will get again for whatever my next phone is,1
2131,"stay away from this store, be careful.",0
2132,BR50 Motorola Cell Phone Battery.,2
2133,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1
2134,"So nice in fact, my dog decided it was a better chew toy than phone case.",2
2135,Let me sum it all up right now,2
2136,I have been using my new Plantronics Explorer 330 for about 2 weeks and am satisfied but not ecstatic.,2
2137,Does not fit.,0
2138,You can find the authentic for the same price.,2
2139,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1
2140,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1
2141,disappointing.,0
2142,Blue Ant is easy to use.,1
2143,"Since that is about the length of the wires connecting the two devices, options for placement on the desktop become limited.",2
2144,Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
2145,The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0
2146,Very comfortable after adjustment.3.,2
2147,Then a few days later the a puff of smoke came out of the phone while in use.,0
2148,The headset worked well one of the 10 times that I tried it.,2
2149,"While the Sony headphones are not immune to wind noise, the sound level from the wind is much lower than with the S9.",2
2150,GPS+phone gprs+whifi+bluetooth+windows mobile 5+..... everythink included in term of needed functionality.,2
2151,Not bad for the cost.,2
2152,It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
2153,The nano stated it.My son was dissapointed.,0
2154,"It was a little more expensive than I thought it should be for the basic features it has, but I decided to give it a chance.",2
2155,The sound quality is excellent as well.,1
2156,Its the best headset I have used.,1
2157,NO ADAPTERS.,2
2158,This is the exact same battery that Palm installs in the Treo when you purchase it.,2
2159,Would not reccommend.,0
2160,They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
2161,And No Camera (Who needs a camera on a cellphone anyway?,2
2162,Just what I wanted.,1
2163,This particular model would not work with my Motorola Q smartphone.,0
2164,wont work right or atleast for me.,0
2165,in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0
2166,I have used the phone extensively since I replaced the old battery.,2
2167,"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0
2168,"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0
2169,So now they are sending me a new phone sinces its still on its warranty.,2
2170,Great product.,1
2171,The only thing that keeps it from being perfect in my eyes is that it is not long enough.,2
2172,Crisp and Clear.,1
2173,AFter the first charge kept going dead after 12 minutes.,0
2174,"VERY cheap plastic, creaks like an old wooden floor.",0
2175,"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0
2176,The reception has been generally good.,1
2177,"Excellent sound, battery life and inconspicuous to boot!.",1
2178,Great bluetooth!.,1
2179,I use it for my zune and my camera.,2
2180,I highly recommend this case.,1
2181,I've been using a silver RAZR for 2 months and here are my conclusions:THE BAD:- BROKE!!,2
2182,WORTHWHILE.,1
2183,"I actually own a 720i, which is almost the same phone.",2
2184,"Now, my follow-up emails go unresponded.",2
2185,This is a great deal.,1
2186,"yet.If you value, programs/software on a cellphone, this is probably not what you're looking for (go for Nokia, as far as I know).",2
2187,"Upon closer examination, I found that the date marked on the ""new"" battery was 3 years ago.",2
2188,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0
2189,"Sick of CDs, nothing good on the radio, plus my normal day consists of 1.5 hours of driving.",2
2190,I am sorry I made this purchase.,0
2191,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0
2192,Plantronics Battery.,2
2193,Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0
2194,"Really difficult to find and keep a comfortable ""sweet spot.""2.",2
2195,It was horrible!.,0
2196,It feels like a brick in those cases.,2
2197,I had not had a cell phone for about 2 years.,2
2198,I don't think it would hold it too securly on your belt.,0
2199,I don't think it is any worse than any other visor-mounted hands-free device.,2
2200,Great Phone but Horrible Service.,2
